ticker,filing,filing_date,form,o_sentence,p_sentence,CCE,cce_raw,weight,severity_hits,numeric_hits
BBBY,BBBY-2022-12-20-000-X00,2022-12-20,10-Q, LIQUIDITY AND CAPITAL RESOURCES The Company MUST maintain a consolidated leverage ratio below 4.0x under its credit agreement.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,1.0,1.0,1.07,2,1
BBBY,BBBY-2022-12-20-000-X00,2022-12-20,10-Q,RISK FACTORS The borrower MUST keep minimum liquidity of $150 million.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,1.0,1.0,1.07,1,1
BBBY,BBBY-2022-12-20-000-X01,2022-12-13,10-Q, LIQUIDITY AND CAPITAL RESOURCES The Company MUST maintain a consolidated leverage ratio below 4.0x under its credit agreement.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,1.0,1.0,1.07,2,1
BBBY,BBBY-2022-12-20-000-X01,2022-12-13,10-Q,RISK FACTORS The borrower MUST keep minimum liquidity of $150 million.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,1.0,1.0,1.07,1,1
BBBY,BBBY-2022-12-20-000-X02,2022-12-06,10-Q, LIQUIDITY AND CAPITAL RESOURCES The Company MUST maintain a consolidated leverage ratio below 4.0x under its credit agreement.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,0.9900851075649969,0.9950425537824985,1.07,2,1
BBBY,BBBY-2022-12-20-000-X02,2022-12-06,10-Q,RISK FACTORS The borrower MUST keep minimum liquidity of $150 million.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,0.9900851075649969,0.9950425537824985,1.07,1,1
BBBY,BBBY-2022-12-20-000-X03,2022-11-29,10-Q, LIQUIDITY AND CAPITAL RESOURCES The Company MUST maintain a consolidated leverage ratio below 4.0x under its credit agreement.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,1.0,1.0,1.07,2,1
BBBY,BBBY-2022-12-20-000-X03,2022-11-29,10-Q,RISK FACTORS The borrower MUST keep minimum liquidity of $150 million.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,1.0,1.0,1.07,1,1
BBBY,BBBY-2022-12-20-000-X04,2022-11-22,10-Q, LIQUIDITY AND CAPITAL RESOURCES The Company MUST maintain a consolidated leverage ratio below 4.0x under its credit agreement.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,0.9913505026596122,0.9956752513298062,1.07,2,1
BBBY,BBBY-2022-12-20-000-X04,2022-11-22,10-Q,RISK FACTORS The borrower MUST keep minimum liquidity of $150 million.,Management MAY incur additional borrowings subject to lender consent unless the leverage ratio exceeds 4.25x.,0.9913505026596122,0.9956752513298062,1.07,1,1
